id,cmc_rank,id,name,symbol,slug,market_cap,volume_24h,date_added
0,1,1,Bitcoin,BTC,bitcoin,666858759244.2627,16662973722.236988,2010-07-13T00:00:00.000Z
1,2,1027,Ethereum,ETH,ethereum,215899232551.75388,8017833125.780234,2015-08-07T00:00:00.000Z
2,3,825,Tether USDt,USDT,tether,84538714092.70866,28130763398.03945,2015-02-25T00:00:00.000Z
3,4,1839,BNB,BNB,bnb,34670966248.725044,391323747.0757517,2017-07-25T00:00:00.000Z
4,5,52,XRP,XRP,xrp,29637737481.966484,1087207026.5554519,2013-08-04T00:00:00.000Z
5,6,3408,USDC,USDC,usd-coin,25091593157.252586,4233670687.6173105,2018-10-08T00:00:00.000Z
6,7,5426,Solana,SOL,solana,13848878740.717339,983976184.2082781,2020-04-10T00:00:00.000Z
7,8,2010,Cardano,ADA,cardano,10229829688.874289,216533883.65268326,2017-10-01T00:00:00.000Z
8,9,74,Dogecoin,DOGE,dogecoin,10149063380.904133,549603632.1555007,2013-12-15T00:00:00.000Z
9,10,1958,TRON,TRX,tron,8324836140.898578,191324569.06000963,2017-09-13T00:00:00.000Z
10,11,11419,Toncoin,TON,toncoin,7179891556.104112,31658148.36405695,2021-08-26T13:40:22.000Z
11,12,1975,Chainlink,LINK,chainlink,6225428357.903884,800598928.7774538,2017-09-20T00:00:00.000Z
12,13,3890,Polygon,MATIC,polygon,5832722545.085296,251591159.95501524,2019-04-28T00:00:00.000Z
13,14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,5591113195.389477,121757812.29424064,2019-01-30T00:00:00.000Z
14,15,4943,Dai,DAI,multi-collateral-dai,5349178999.765201,157575697.8453815,2019-11-22T00:00:00.000Z
15,16,6636,Polkadot,DOT,polkadot-new,5245510673.24958,162445343.6909666,2020-08-19T00:00:00.000Z
16,17,2,Litecoin,LTC,litecoin,5056708662.1789465,329794169.44463336,2013-04-28T00:00:00.000Z
17,18,1831,Bitcoin Cash,BCH,bitcoin-cash,4809598921.3545,173060203.60736173,2017-07-23T00:00:00.000Z
18,19,5994,Shiba Inu,SHIB,shiba-inu,4663829679.993726,199178365.42286927,2020-08-01T00:00:00.000Z
19,20,5805,Avalanche,AVAX,avalanche,3847662716.7620506,288682916.17064196,2020-07-13T00:00:00.000Z
20,21,3957,UNUS SED LEO,LEO,unus-sed-leo,3687601925.444616,383724.46605498,2019-05-21T00:00:00.000Z
